seed,model,class,precision,recall,f1,support
4,rf,password,0.9921590439246899,0.9020372044876547,0.9449542212314086,499.99999999999596
4,rf,scanning,1.0,0.999,0.9994997498749375,500.0
4,rf,weighted avg,0.9729470477228103,0.9414863226840667,0.9562879205896917,3499.4650860396787
4,rf,xss,0.9689872553126097,0.8574442057767766,0.9098096755777215,499.99999999998875
4,xgboost,ddos,0.9748809600329752,0.9484000000000017,0.9614581766352248,499.9999999998965
4,xgboost,dos,0.9704868871851825,0.955179942100891,0.9627725779073537,499.9999999998435
4,xgboost,injection,0.9464888780673119,0.9432373737373748,0.944860328597602,500.0000000000076
4,xgboost,macro avg,0.9728968932829781,0.9457458525930498,0.9585017303747246,3499.4650860396787
4,xgboost,micro avg,0.9722731261055826,0.9457387836823675,0.9588224129346578,3499.4650860396787
4,xgboost,normal,0.943504102098336,0.9919914322105787,0.9671404236758135,499.4650860399464
4,xgboost,password,0.99393252425549,0.9002106893361389,0.9447529377855672,499.99999999999596
4,xgboost,scanning,1.0,0.998,0.998998998998999,500.0
4,xgboost,weighted avg,0.9729013861451564,0.9457387836823675,0.9585004098993005,3499.4650860396787
4,xgboost,xss,0.980984901341552,0.8832015307663633,0.9295286690225127,499.99999999998875
4,lightgbm,ddos,0.9569103813474594,0.9720740740740736,0.9644326270290553,499.9999999998965
4,lightgbm,dos,0.9331947947120924,0.9565366087675587,0.9447215436117453,499.9999999998435
4,lightgbm,injection,0.9398319638524565,0.9472134776334785,0.9435082836911346,500.0000000000076
4,lightgbm,macro avg,0.9662130678236112,0.9205839091469175,0.9402117487712018,3499.4650860396787
4,lightgbm,micro avg,0.9652075308369926,0.9205803127942983,0.9423658696816379,3499.4650860396787
4,lightgbm,normal,0.9795727930237531,0.9441116376409673,0.9615153702633258,499.4650860399464
4,lightgbm,password,0.9703602231622774,0.9081477148378703,0.9382237907097083,499.99999999999596
4,lightgbm,scanning,1.0,0.998,0.998998998998999,500.0
4,lightgbm,weighted avg,0.966211025710508,0.9205803127942983,0.9402084923865094,3499.4650860396787
4,lightgbm,xss,0.9836213186672391,0.7180038510744737,0.8300816270944436,499.99999999998875
4,catboost,ddos,0.9733321800223856,0.9847939393939436,0.9790295143898654,499.9999999998965
4,catboost,dos,0.9614944357672074,0.9573424158317969,0.9594139336850398,499.9999999998435
4,catboost,injection,0.9363775299882605,0.952851010101011,0.9445424482556709,500.0000000000076
4,catboost,macro avg,0.9748736839109587,0.9473435840702614,0.9602698994346401,3499.4650860396787
4,catboost,micro avg,0.974305345177619,0.9473415280302777,0.9606342635968543,3499.4650860396787
4,catboost,normal,0.9807313094400741,0.9607944204126968,0.970660502248936,499.4650860399464
4,catboost,password,0.998415424502835,0.8698657549078205,0.9297180708320711,499.99999999999596
4,catboost,scanning,0.9977569101346218,0.998,0.9978784402627316,500.0
4,catboost,weighted avg,0.974872788538212,0.9473415280302777,0.9602683111694729,3499.4650860396787
4,catboost,xss,0.9760079975213272,0.9077575478445608,0.9406463863681661,499.99999999998875
5,rf,ddos,0.9664838577282276,0.9867333333333356,0.9765036299222055,499.9999999998965
5,rf,dos,0.9588201436791651,0.9479799291729887,0.9533692229569006,499.9999999998435
5,rf,injection,0.9528947341851676,0.948127316017317,0.9505050471916265,500.0000000000076
5,rf,macro avg,0.9759596233997857,0.9339016898990835,0.9532123984690151,3499.4650860396787
